electrode,sub
ROF1-ROF2,IR10
RAC4-RAC5,IR10
RAC5-RAC6,IR10
RAC6-RAC7,IR10
RAC7-RAC8,IR10
RAC8-RAC9,IR10
LAC4-LAC5,IR10
LAC5-LAC6,IR10
LIN6-LIN7,IR16
LIN7-LIN8,IR16
LIN8-LIN9,IR16
LOF5-LOF6,IR16
LOF6-LOF7,IR16
LOF7-LOF8,IR16
LCI3-LCI4,IR16
LCI4-LCI5,IR16
LSM4-LSM5,IR16
LSM5-LSM6,IR16
ROF4-ROF5,IR26
ROF5-ROF6,IR26
ROF6-ROF7,IR26
LOF1-LOF2,IR28
LOF2-LOF3,IR28
ROF5-ROF6,IR35
ROF6-ROF7,IR35
RIN5-RIN6,IR35
RIN6-RIN7,IR35
RIN7-RIN8,IR35
RIN8-RIN9,IR35
RIN9-RIN10,IR35
LOF4-LOF5,IR35
LOF5-LOF6,IR35
LOF6-LOF7,IR35
LOF7-LOF8,IR35
LIN5-LIN6,IR35
LIN6-LIN7,IR35
LIN7-LIN8,IR35
LIN8-LIN9,IR35
LIN9-LIN10,IR35
LAC6-LAC7,IR35
LAC7-LAC8,IR35
LAC8-LAC9,IR35
LAC9-LAC10,IR35
LAC10-LAC11,IR35
LPC5-LPC6,IR35
LPC6-LPC7,IR35
LPC7-LPC8,IR35
LPC8-LPC9,IR35
RSM3-RSM4,IR57
RSM4-RSM5,IR57
RSM5-RSM6,IR57
RSM6-RSM7,IR57
RSM7-RSM8,IR57
RAC7-RAC8,IR57
RAC8-RAC9,IR57
ROF7-ROF8,IR57
ROF8-ROF9,IR57
ROF9-ROF10,IR57
RIN7-RIN8,IR57
RIN8-RIN9,IR57
RIN9-RIN10,IR57
RTI7-RTI8,IR57
RTI8-RTI9,IR57
RTI9-RTI10,IR57
LAC8-LAC9,IR57
LAC9-LAC10,IR57
LIN6-LIN7,IR57
LIN7-LIN8,IR57
LIN8-LIN9,IR57
LIN9-LIN10,IR57
RIHA2-RIHA3,CP34
RIHA3-RIHA4,CP34
RHPA2-RHPA3,CP34
RHPA3-RHPA4,CP34
RIHP5-RIHP6,CP34
RIHP6-RIHP7,CP34
RIHP7-RIHP8,CP34
LIH2-LIH3,CP34
LIH3-LIH4,CP34
