electrode,sub
ROF1-ROF2,IR9
ROF2-ROF3,IR9
ROF3-ROF4,IR9
ROF4-ROF5,IR9
ROF5-ROF6,IR9
ROF6-ROF7,IR9
ROF7-ROF8,IR9
LOF11-LOF12,IR10
LOF1-LOF2,IR16
LOF2-LOF3,IR16
LOF3-LOF4,IR16
ROF1-ROF2,IR26
ROF2-ROF3,IR26
ROF3-ROF4,IR26
ROF1-ROF2,IR28
LOF1-LOF2,IR28
LOF2-LOF3,IR28
ROF1-ROF2,IR35
ROF2-ROF3,IR35
ROF3-ROF4,IR35
LOF1-LOF2,IR35
LOF2-LOF3,IR35
LOF3-LOF4,IR35
ROF1-ROF2,IR57
ROF2-ROF3,IR57
LOF2-LOF3,IR57
LOF3-LOF4,IR57
